# /dev/cpu_dma_latency set to 0us
policy: fifo: loadavg: 0.14 0.24 0.12 2/183 30087          

T: 0 (30084) P:80 I:1000 C:      0 Min:1000000 Act:    0 Avg:    0 Max:       0
T: 1 (30085) P:80 I:1000 C:      0 Min:1000000 Act:    0 Avg:    0 Max:       0
T: 2 (    0) P:80 I:1000 C:      0 Min:1000000 Act:    0 Avg:    0 Max:       0
T: 3 (30087) P:80 I:1000 C:      0 Min:1000000 Act:    0 Avg:    0 Max:       0
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:     10 Min:     10 Act:   11 Avg:   11 Max:      19
T: 1 (30085) P:80 I:1000 C:     10 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:     10 Min:     11 Act:   19 Avg:   13 Max:      25
T: 3 (30087) P:80 I:1000 C:     10 Min:     10 Act:   10 Avg:   11 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:     20 Min:     10 Act:   11 Avg:   11 Max:      19
T: 1 (30085) P:80 I:1000 C:     20 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:     20 Min:     10 Act:   11 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:     20 Min:     10 Act:   11 Avg:   11 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:     30 Min:     10 Act:   10 Avg:   11 Max:      19
T: 1 (30085) P:80 I:1000 C:     30 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:     30 Min:     10 Act:   10 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:     30 Min:     10 Act:   11 Avg:   11 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:     40 Min:     10 Act:   10 Avg:   11 Max:      19
T: 1 (30085) P:80 I:1000 C:     40 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:     40 Min:     10 Act:   11 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:     40 Min:     10 Act:   11 Avg:   11 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:     51 Min:     10 Act:   11 Avg:   10 Max:      19
T: 1 (30085) P:80 I:1000 C:     51 Min:     11 Act:   15 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:     50 Min:     10 Act:   11 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:     50 Min:     10 Act:   11 Avg:   10 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:     61 Min:     10 Act:   10 Avg:   10 Max:      19
T: 1 (30085) P:80 I:1000 C:     61 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:     60 Min:     10 Act:   11 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:     61 Min:     10 Act:   10 Avg:   10 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:     71 Min:     10 Act:   10 Avg:   10 Max:      19
T: 1 (30085) P:80 I:1000 C:     71 Min:     11 Act:   14 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:     71 Min:     10 Act:   18 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:     71 Min:     10 Act:   10 Avg:   10 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:     81 Min:     10 Act:   10 Avg:   10 Max:      19
T: 1 (30085) P:80 I:1000 C:     81 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:     81 Min:     10 Act:   11 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:     81 Min:     10 Act:   13 Avg:   11 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:     91 Min:     10 Act:   11 Avg:   10 Max:      19
T: 1 (30085) P:80 I:1000 C:     91 Min:     11 Act:   14 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:     91 Min:     10 Act:   11 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:     91 Min:     10 Act:   13 Avg:   11 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    101 Min:     10 Act:   14 Avg:   11 Max:      19
T: 1 (30085) P:80 I:1000 C:    101 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    101 Min:     10 Act:   11 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:    101 Min:     10 Act:   13 Avg:   11 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    112 Min:     10 Act:   14 Avg:   11 Max:      19
T: 1 (30085) P:80 I:1000 C:    112 Min:     11 Act:   14 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    111 Min:     10 Act:   11 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:    112 Min:     10 Act:   13 Avg:   11 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    122 Min:     10 Act:   14 Avg:   11 Max:      19
T: 1 (30085) P:80 I:1000 C:    122 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    122 Min:     10 Act:   12 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:    122 Min:     10 Act:   13 Avg:   11 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

